CCF,ITU Shift,MAX IL,MIN IL,PDL,Ripple,Adj Iso,Adj Iso,Adj Iso,GD Ripple,GD Ripple,GD Ripple,GD Slope,Worst CD,Worst CD,Passband,Passband,Stopband,PMD,
GHz,GHz,dB,dB,dB,dB,10,10,12.5,6,8,10,8,8,10,10,10,10,10,
MAX-Value,2.26317723150714,0.416629878425692,0.351863404695324,0,0.023761440540372,27.2765111709512,27.2765111709512,20.9914093378383,1.0660838581797,1.822596105981,2.8983623596787,9.23633767597982,53.0264151432948,72.951168130427,45.0924891459872,33.8613442439819,62.9965383205854,0,

196002.034108969,2.03410896900459,0.387927409310304,0.366990033428872,0,0.020937375881432,27.8204119551905,27.8204119551905,21.4002287200027,1.0182594258819,1.7055401332035,2.6672668903053,8.95671041212134,51.274808499528,70.9907379130698,43.983777476009,33.7344512100099,62.9381905698101,0,
195901.812136995,1.81213699548971,0.386704402630091,0.367764572881255,0,0.018939829748836,27.8487460441553,27.8487460441553,21.5339748752243,1.0149614568178,1.6821751129387,2.6180542602934,8.67825284978922,49.8031638575526,69.1681122600983,45.0183821080136,33.4996775480104,62.9659236753942,0,
195802.012374597,2.01237459701952,0.383842425373697,0.364671129507482,0,0.019171295866215,27.2823537388583,27.2823537388583,21.9519401973892,0.9565498537611,1.6093551944179,2.5181857911046,7.49915359271512,54.3420785429248,73.9775855237383,44.5683600099874,33.0613873020047,62.9660379483539,0,
195701.99492286,1.99492286000168,0.389684993280818,0.365923552740446,0,0.023761440540372,27.2765111709512,27.2765111709512,21.7925012756157,1.065411230159,1.7637658976284,2.7202714283688,9.23633767597982,51.7184983521247,70.2809103409891,43.9151500919834,33.6971756420098,62.9307702386577,0,
195602.079476766,2.07947676550248,0.386683130456307,0.369129953106423,0,0.017553177349884,27.6554450467563,27.6554450467563,21.3656430777755,0.950288605400498,1.6007751787532,2.4962457169349,7.33489085864008,53.583804355776,72.9585154801441,44.3349723219872,32.851484527986,62.9650384449924,0,
195501.947333471,1.94733347051078,0.386534314030953,0.367676587709349,0,0.018857726321604,27.5103086104071,27.5103086104071,21.1686219340706,0.967859219655299,1.6346128648114,2.5577234135705,7.59072572614524,55.3031356260362,74.7460812262091,44.549623118015,33.0778882299783,62.9460886865563,0,
195401.917656531,1.91765653100447,0.383483467765554,0.365175562287982,0,0.018307905477572,27.5133594566725,27.5133594566725,21.1695688139032,0.975917976715401,1.643274693151,2.575857475226,7.66583118608696,55.6923655497201,75.8743928202875,44.5594173719874,33.0994173539802,62.9965383205854,0,
195301.990288746,1.99028874549549,0.378993571146763,0.36375122659086,0,0.015242344555903,27.6610560642835,27.6610560642835,21.3097340644667,0.933866675279198,1.5976015623363,2.5210333480335,7.14681787699578,55.3088177117615,74.9003618463007,44.3646693279734,32.9163861860288,62.9567446023284,0,
195201.847382064,1.84738206397742,0.382006708751,0.363481538927466,0,0.018525169823534,27.9670218586265,27.9670218586265,21.6963920935715,0.863074743021297,1.4982466366254,2.7514776572314,6.29114637958999,53.1486933441897,72.6494473222772,43.9656925959862,33.7998730440158,62.9463688808901,0,
195102.124486749,2.12448674900224,0.378469385896747,0.362491488131715,0,0.015977897765032,28.0500810401769,28.0500810401769,21.6875028327458,0.9451368531202,1.6218392460377,2.5657751963247,7.96639341188811,50.4188515525072,77.0227197195538,44.632192532008,33.2073636400164,62.9491366066213,0,
195001.869227447,1.86922744748881,0.379624734133412,0.363151713949829,0,0.016473020183583,27.652563784807,27.652563784807,21.2082606270073,0.852980754153201,1.7298389867003,2.6920532578568,8.1061429676625,51.6286694708356,70.8893765928565,45.0924891459872,33.6793974760221,62.9392218208814,0,
194902.033664735,2.03366473451024,0.377945431211163,0.364128240030588,0,0.013817191180575,27.6542430877292,27.6542430877292,21.2202276270943,0.923623206774899,1.5452398189539,2.4279630079248,7.54467353860801,52.3231419935541,72.8114052062665,44.0801138880197,32.6786672439775,62.9676143160323,0,
194801.983884799,1.98388479900314,0.379644793298315,0.366797717319971,0,0.012847075978344,28.838168287447,28.838168287447,22.6527310840516,0.959093176467302,1.5969595085161,2.488023437649,7.91431309765176,53.3114890101785,72.3582683407926,44.1302563099889,32.7405108819949,62.9099534066336,0,
194701.720704515,1.72070451450418,0.386325206139471,0.367327556290004,0,0.018997649849467,27.7576612626056,27.7576612626056,21.3099321548483,0.967597042541801,1.6025864813809,2.8408798536665,7.83032092360194,52.6532442063001,71.6565955459259,43.9751444860012,33.8613442439819,62.9149773381068,0,
194601.876420974,1.87642097350908,0.3827021748753,0.366452813449703,0,0.016249361425597,27.7612842938698,27.7612842938698,21.2974571200862,0.912424579842,1.8024947621075,2.7578342624872,8.52532809150743,51.9007955958671,70.0753402513101,44.8779861559742,33.511662955978,62.9390311940224,0,
194502.134486518,2.13448651798535,0.382202018407762,0.367100918937666,0,0.015101099470096,27.6169103431635,27.6169103431635,21.8415041503267,1.0130772406534,1.6872112419981,2.610968844106,8.63690694454538,55.3844628352181,74.925762089913,44.3120182940038,32.9573422939866,62.9063811624656,0,
194401.864437675,1.86443767498713,0.382174776426769,0.364815595397063,0,0.017359181029706,27.6169375851445,27.6169375851445,22.1869437119997,0.8919396843539,1.7811807331321,2.7434850861509,8.24576932353651,51.9816958050967,70.7243896752288,44.8020410800236,33.4590679359972,62.9364229635685,0,
194302.012606911,2.01260691147763,0.378732989705032,0.359051672356163,0,0.019681317348869,28.5295869215343,28.5295869215343,21.9829190213443,0.9268758355283,1.5756758480129,2.8498278854269,7.22386865293613,54.1931088323395,73.5404212646358,43.8264828820247,33.7541939120274,62.9720640676096,0,
