CCF,ITU Shift,MAX IL,MIN IL,PDL,Ripple,Adj Iso,Adj Iso,Adj Iso,GD Ripple,GD Ripple,GD Ripple,GD Slope,Worst CD,Worst CD,Worst CD,Worst CD,Passband,Passband,Stopband,PMD,
GHz,GHz,dB,dB,dB,dB,8,10,12.5,10,12.5,15,12.5,6,8,10,12.5,12.5,12.5,12.5,12.5,
MAX-Value,-0.394229352008551,1.05322705419953,0.909421591267137,0,0.062959910439259,24.5301070699986,24.5301070699986,23.7366277509318,1.18138435655612,1.75820906755825,2.0967651114168,3.88654116306413,17.5360846440956,18.6672623878287,28.9336899112833,35.3177593255466,49.2310413939995,39.4268892940017,61.552127279836,0,

196050.100260518,0.100260518491268,1.05159488563995,1.00211142428504,0,0.04948346135491,28.3933672291008,28.3933672291008,27.0490934332506,0.69361621205764,1.25109785331393,1.42610493026931,2.08003977181255,14.1031254499012,18.1765680821115,29.6685233630626,30.5160585350563,48.2803289780277,38.9027662720182,61.3653337111464,0,
195950.149392272,0.149392271996476,1.04440034313081,0.9845326641372,0,0.05986767899361,28.2213926693622,28.2213926693622,27.3303935157863,0.686197653838178,1.26635047826113,1.45663268846755,2.80949918869023,12.5833090706351,12.5833090706351,25.9792927851265,30.5920500842433,48.3295795739978,38.76464141201,61.4615514775505,0,
195849.660657127,-0.339342873485293,1.04988050737297,0.986920596933711,0,0.062959910439259,27.6002075168269,27.5999758404109,26.8810789789131,0.712713821026822,1.21411044309405,1.44705970088122,3.05937211737749,14.155052100449,14.155052100449,-23.5593693662338,-34.2724131575039,48.5826302560163,38.3446848400054,61.552127279836,0,
195749.914009891,-0.0859901094809175,1.05322705419953,0.99885687017357,0,0.0543701840259601,26.8594877281314,26.8592451370219,26.8592451370219,0.914822955284902,1.30807631508611,1.53231129307303,3.86204012567562,23.6273946470021,23.6273946470021,-30.9926959184281,-35.8792582122248,49.0391696019797,38.8116511200205,61.4437778779829,0,
195649.630489908,-0.369510092015844,1.0392810247138,0.993915281388571,0,0.045365743325229,26.4250268080811,26.4249933308443,26.4249933308443,1.06408713695182,1.26879385944639,1.55329874121906,3.43873899217163,27.6179901936075,27.6179901936075,27.6179901936075,-30.5054934471173,48.4217192080105,38.2046784239938,61.2572002432426,0,
195549.768616984,-0.231383015518077,1.02061348639963,0.971776991781162,0,0.048836494618468,26.1972449361869,26.1971871398616,26.1971871398616,1.00481298329209,1.16264081815788,1.55541750235781,2.81723141839555,23.9335996131786,23.9335996131786,26.4390550559995,31.5956996258365,48.0097437180229,39.0789578059921,61.3471829450573,0,
195450.008505615,0.00850561450351961,1.02389671166958,0.968980930140366,0,0.0549157815292141,26.050083949896,26.0498910942279,26.0498910942279,0.880244806767646,1.2043264270591,1.53755744118874,2.20158261555738,20.0340128212588,20.0340128212588,26.3641063802766,36.6550379658179,49.0388735699817,38.8472591440077,61.4444390901772,0,
195349.71378802,-0.286211979517248,1.03886522676995,0.98890657780533,0,0.0499586489646201,26.0349225791275,26.0349225791275,25.8987610591813,0.848592311568069,1.23528589358691,1.60565945963333,1.97681424171982,22.2824924767451,22.2824924767451,26.9174285671113,36.121498430532,48.9417976519908,38.8884358979994,61.2934418291843,0,
195249.839792821,-0.160207179491408,1.02128170400745,0.984393963598479,0,0.036887740408971,26.2847329472871,26.2847329472871,25.8450537160736,0.706630825310697,1.08106715842789,1.49878653776287,1.2418055669993,-19.7229312147329,-19.7229312147329,27.4030491323288,33.9684902259933,48.6403433139785,39.1001064960146,61.1065449490561,0,
195149.750222415,-0.249777585006086,0.989394226879586,0.954760750081875,0,0.034633476797711,26.4698833843308,26.4698833843308,25.8769411932014,0.557831747720542,1.20780234153108,1.4845452542003,1.43523882598055,-16.6079821475591,-16.6079821475591,31.7015883635236,35.3708431531004,48.4102901979932,38.2453971679788,61.1117803965753,0,
195049.763342886,-0.236657114495756,0.978127150703703,0.930980594472945,0,0.047146556230758,26.7873085465328,26.7873085465328,26.2030701297933,0.532722832095004,1.17488092146968,1.37816645555307,1.86846288354658,-9.18532061330097,9.51373242280056,30.3960597783146,33.9135378337403,48.69426715601,38.866458014003,61.2734995014616,0,
194949.878742584,-0.121257416496519,0.980957050579212,0.929718246637887,0,0.051238803941325,27.0570604689609,27.0569122836113,26.2002402299178,0.559195000761633,1.09227438924904,1.31852268878978,1.53580844541685,10.2634720156971,11.6722344614288,23.0278936430352,27.5558932303966,48.5671930279932,38.4231133420253,61.2709478279285,0,
194850.096517954,0.0965179540216923,0.973765560806723,0.927622072121864,0,0.0461434886848591,27.1314486861189,27.1313839270809,26.5000544262539,0.658862797518879,1.12584563883834,1.34462044928444,2.05763879854626,14.8524787510155,14.8524787510155,-23.7009076287848,-29.6162466173371,48.3192922479939,39.0662355759996,61.1691679058131,0,
194750.100039284,0.10003928351216,0.957104273818754,0.916063825412592,0,0.0410404484061619,26.5874173344914,26.5874173344914,26.5031899545245,0.696673627029015,1.1335907957058,1.39680049891504,1.92110660909637,18.001716563333,18.001716563333,-25.2317189479641,-30.5170342308656,48.2769500639988,39.0189077800023,61.192800760211,0,
